ring_size,brainpoolP160r1,secp192r1,secp224r1,secp256r1
8,0.044421284252166515,0.05735294068654184,0.06045009618901531,0.08386723175135558
16,0.08610642968778848,0.0999810165631061,0.12772526287517394,0.1390345650652307
32,0.15446623825118877,0.19852303893640055,0.26380681037699105,0.3099853601270297
64,0.3321704438130837,0.38061987731271074,0.4848513259385072,0.5903375614361721
